building_code,building_name,building_address,lat,lon
SUN,Sunset Apts.,1144 W. 29th St.,34.028163899999996,-118.28521510780116
SWC,Social Work Ctr.,655 W. 34th St.,34.02246745,-118.28216212418714
TAP,Troyland Apts.,955-959 W. Adams Blvd.,34.0325308,-118.3481364
TCC,Ronald Tutor Campus Center,3607 Trousdale Pkwy.,34.019737375,-118.285719875
TGF,Town and Gown,665 Exposition Blvd.,34.01910755,-118.28428015
THH,Taper Hall of Humanities,3501 Trousdale Pkwy.,34.02223085,-118.28461267841652
THR,Two Harbors Residences,Two Harbors Catalina Island,null,null
TMC,The Music Complex,3450 Watt Way,34.0228111,-118.28560771536152
TOW,Tower Hall,1711 N. Griffin Ave.,30.7673687,-84.4881402
TPA,Twin Palms Apts.,2635 Portland St.,34.03029617269076,-118.2825793935743
TRF,Temporary Research Facility,3430 S. Vermont Ave.,33.9686401,-118.2915681
TRH,Troy Hall,3025 Royal St.,34.02572525,-118.28146396129526
TRO,Trojan Residence Hall,615 Childs Way,34.0193792,-118.2823587530549
TSA,Terrace Apts.,2822-2830 Ellendale Pl.,34.0343902,-118.2890095
TTL,Technical Theatre Lab.,1020 Bloom Walk,34.02052755,-118.29106650684807
TUS,Tuscany,3760 S. Figueroa St.,33.7833185,-118.280348
TYL,Tyler Bldg.,3601 S. Flower St.,34.018409,-118.280716
UAC,Uytengsu Aquatics Center,3441 McClintock Ave.,34.02399673469388,-118.28779720408163
UGB,University Gardens Building,3500 S. Figueroa St.,33.7833185,-118.280348
UGW,University Gateway,3335 S. Figueroa St.,33.9416448,-118.2826206
UHR,USC Restaurant,3520 S. Figueroa St.,33.7833185,-118.280348
UNH,USC University Hosp.,1500 San Pablo St.,34.0627257,-118.20188823929675
UPX,Grand Avenue Structure,3401 S. Grand Ave.,34.0283216,-118.2711155
URA,University Regent Apts.,1219 W. 27th St.,34.030583899999996,-118.28700054500659
URC,University Religious Ctr.,835 W. 34th St.,34.0233596,-118.28493946534682
URH,University Residence Hall,616 W. 34th St.,34.02127832653061,-118.28111889795919
USH,USC Hotel,3540 S. Figueroa St.,33.7833185,-118.280348
UUC,United University Church,817 W. 34th St.,34.02287083673469,-118.28417408163266
UVO,University Village One,3015 S. Hoover St.,34.02718269245582,-118.2840576318282
VBB,Valley Blvd. Bldg.,4351 E. Valley Blvd.,34.0744867,-118.1661688
VHE,Vivian Hall of Engineering,3651 Watt Way,34.02015445,-118.28823723432777
VHH,Verdugo Hills Hospital,1812 Verdugo Blvd.,34.2045076,-118.21622331598934
VIS,Vista Apts.,2701 Severance St.,34.02931008080808,-118.2816314949495
VPD,Verna & Peter Dauterive Hall,635 Downey Way,34.0189091,-118.28375417851076
WAH,Watt Hall of Architecture and Fine Arts,850 Bloom Walk,34.01914679591837,-118.28726
WIN,Windsor Apts.,1149 W. 28th St.,34.029645200000004,-118.28528785198606
WPH,Waite Phillips Hall,3470 Trousdale Pkwy.,34.0219557,-118.28382539252465
WTO,Webb Tower,1015 W. 34th St.,34.0246296,-118.28771364819599
ZHS,Zumberge Hall of Science,3651 Trousdale Pkwy.,34.0193197,-118.28633697544612
ZNI,Zilkha Neurogenetic Institute,1501 San Pablo St.,34.062471450000004,-118.20372668390229
